id,text,option_a,option_b,option_c,option_d,correct,source,topic,type
127,"If you had to find rules for shunt trip in ASME A17.1, where should you begin?",Machine rooms and spaces,General requirements for shunt trip,shunt trip section for car and counterweight safeties,Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
128,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for machine rooms?,machine rooms section for car and counterweight safeties,Maintenance control program,General requirements for machine rooms,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
129,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for control spaces?",Machine rooms and spaces,Maintenance control program,General requirements for control spaces,"control spaces section for hoistways, pits, and related construction",A,ASME A17.1,table of contents navigation,toc_navigation
130,"A question asks about pits. Using the ASME A17.1 table of contents, what is the best first move?",Maintenance control program,Machine rooms and spaces,pits section for car and counterweight safeties,General requirements for pits,B,ASME A17.1,table of contents navigation,toc_navigation
131,"If you had to find rules for car enclosures in ASME A17.1, where should you begin?",Machine rooms and spaces,Maintenance control program,"car enclosures section for hoistways, pits, and related construction",General requirements for car enclosures,A,ASME A17.1,table of contents navigation,toc_navigation
132,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for fire service?,Machine rooms and spaces,"fire service section for hoistways, pits, and related construction",Maintenance control program,General requirements for fire service,A,ASME A17.1,table of contents navigation,toc_navigation
133,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for electrical disconnects?","electrical disconnects section for hoistways, pits, and related construction",Machine rooms and spaces,Maintenance control program,General requirements for electrical disconnects,B,ASME A17.1,table of contents navigation,toc_navigation
134,"A question asks about working clearances. Using the ASME A17.1 table of contents, what is the best first move?",General requirements for working clearances,"working clearances section for hoistways, pits, and related construction",Maintenance control program,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
135,"If you had to find rules for refuge spaces in ASME A17.1, where should you begin?",refuge spaces section for car and counterweight safeties,General requirements for refuge spaces,Maintenance control program,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
136,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for handrails?,Maintenance control program,handrails section for car and counterweight safeties,Machine rooms and spaces,General requirements for handrails,C,ASME A17.1,table of contents navigation,toc_navigation
137,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for step demarcation?",step demarcation section for car and counterweight safeties,General requirements for step demarcation,Maintenance control program,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
